LANGUAGE,English,French,Italian,Spanish,German, Comment


STRM_S07r01,"ALPHA ONE, THIS IS SWORDFISH BASE. THE CONVOY'S DUE TO SHIP OUT OF LA TRINITE IN SEVEN MINUTES. REPEAT, YOU HAVE SEVEN MINUTES. OUT.","ALPHA UN, ICI BASE ESPADON. LE CONVOI DOIT QUITTER LA TRINITE DANS SEPT MINUTES. JE REPETE, VOUS AVEZ SEPT MINUTES. TERMINE.","ALFA UNO, QUI BASE SQUALO. L'AUTOCOLONNA DOVREBBE PARTIRE DA LA TRINITÉ FRA SETTE MINUTI. RIPETO, MANCANO SETTE MINUTI. CHIUDO.","ALFA UNO, AQUÍ BASE TIBURÓN. EL CONVOY VA A SALIR DE LA TRINITE DENTRO DE SIETE MINUTOS. REPITO, TIENE SIETE MINUTOS. CORTO Y CIERRO.","ALPHA EINS, HIER SPRICHT STÜTZPUNKT SCHWERTFISCH. DER KONVOI SOLL LA TRINITÉ IN SIEBEN MINUTEN VERLASSEN. WIEDERHOLE: SIE HABEN SIEBEN MINUTEN. ENDE.",HQ
STRM_S07r02,"ALPHA ONE, THE CONVOY'S NOW LEAVING IN FIVE MINUTES. SWORDFISH OUT.","ALPHA UN, LE CONVOI PART DANS CINQ MINUTES. ESPADON TERMINE.","ALFA UNO, L'AUTOCOLONNA PARTE FRA CINQUE MINUTI. QUI SQUALO, CHIUDO.","ALFA UNO, EL CONVOY SE MARCHARÁ DENTRO DE CINCO MINUTOS. CORTO Y CIERRO.","ALPHA EINS, NOCH FÜNF MINUTEN BIS ZUR ABFAHRT DES KONVOIS. SCHWERTFISCH - ENDE.",HQ
STRM_S07r03,"THIS IS SWORDFISH BASE. THREE MINUTES TILL THE CONVOY LEAVES. JUST THOUGHT YOU'D LIKE TO KNOW, ALPHA ONE. OUT.","ICI BASE ESPADON. TROIS MINUTES AVANT LE DEPART DU CONVOI. JE ME SUIS DIT QUE ÇA VOUS INTERESSERAIT DE LE SAVOIR, ALPHA UN. TERMINE.","QUI BASE SQUALO. MANCANO TRE MINUTI ALLA PARTENZA DELL'AUTOCOLONNA. GIUSTO A TITOLO INFORMATIVO, ALFA UNO. CHIUDO.","AQUÍ BASE TIBURÓN. DENTRO DE TRES MINUTOS EL CONVOY SE PONDRÁ EN MARCHA. PENSÉ QUE LE INTERESARÍA SABERLO, ALFA UNO. CORTO Y CIERRO.","HIER SPRICHT STÜTZPUNKT SCHWERTFISCH. DREI MINUTEN NOCH, BIS DER KONVOI ABFÄHRT. DACHTE, SIE SOLLTEN'S WISSEN, ALPHA EINS. ENDE.",HQ
STRM_S07r04,"SWORDFISH BASE TO ALPHA ONE. INTEL REPORTS THE CONVOY IS ON THE MOVE. REPEAT, THE CONVOY IS ON THE MOVE. OUT.","BASE ESPADON A ALPHA UN. LES SERVICES DE RENSEIGNEMENT INDIQUENT QUE LE CONVOI EST PARTI. JE REPETE, LE CONVOI EST PARTI. TERMINE.","BASE SQUALO AD ALFA UNO. I SERVIZI SEGRETI INFORMANO CHE L'AUTOCOLONNA SI È MOSSA. RIPETO, L'AUTOCOLONNA SI È MOSSA. CHIUDO.","BASE TIBURÓN A ALFA UNO. EL SERVICIO DE INTELIGENCIA INFORMA DE QUE EL CONVOY SE HA PUESTO EN CAMINO. REPITO, EL CONVOY SE HA PUESTO EN CAMINO. CORTO Y CIERRO.","STÜTZPUNKT SCHWERTFISCH AN ALPHA EINS. DER NACHRICHTENDIENST MELDET, DASS DER KONVOI SICH IN BEWEGUNG GESETZT HAT. WIEDERHOLE: DER KONVOI IST IN BEWEGUNG. ENDE.",HQ
STRM_S07r05,SWORDFISH BASE TO ALPHA ONE. WE HAVE CONFIRMATION THAT THE CONVOY HAS REACHED HOUDAN. LOOKS LIKE YOU SCREWED UP. BETTER GET OUT OF THERE. OUT.,BASE ESPADON A ALPHA UN. ON A REÇU CONFIRMATION QUE LE CONVOI A ATTEINT HOUDAN. ON DIRAIT QUE VOUS AVEZ LAMENTABLEMENT ECHOUE. IL VAUDRAIT MIEUX QUE VOUS QUITTIEZ LA ZONE. TERMINE.,BASE SQUALO AD ALFA UNO. ABBIAMO CONFERMA CHE L'AUTOCOLONNA HA RAGGIUNTO HOUDAN. CHE BEL FIASCO. È MEGLIO ANDARSENE DA LÌ CHIUDO.,BASE TIBURÓN A ALFA UNO. HEMOS CONFIRMADO QUE EL CONVOY HA LLEGADO A HOUDAN. PARECE QUE LO HA ECHADO TODO POR TIERRA. MÁS VALE QUE SALGA DE AHÍ. CORTO Y CIERRO.,"STÜTZPUNKT SCHWERTFISCH AN ALPHA EINS. WIR HABEN DIE NACHRICHT ERHALTEN, DASS DER KONVOI HOUDAN ERREICHT HAT. SIEHT AUS, ALS HÄTTEN SIE VERSAGT. MACHEN SIE, DASS SIE DA WEG KOMMEN. ENDE.",HQ
STRM_S07r06,"ALPHA ONE, THIS IS SWORDFISH BASE. ARE YOU SURE YOU KNOW WHERE YOU'RE GOING, SOLDIER?","ALPHA UN, ICI BASE ESPADON. VOUS SAVEZ OU VOUS ALLEZ, SOLDAT ?","ALFA UNO, QUI BASE SQUALO. SEI SICURO DI SAPERE DOVE STAI ANDANDO, SOLDATO?","ALFA UNO, AQUÍ BASE TIBURÓN. ¿SEGURO QUE SABE A DÓNDE VA, SOLDADO?","ALPHA EINS, HIER SPRICHT STÜTZPUNKT SCHWERTFISCH. SIND SIE SICHER, DASS SIE AUF DEM RICHTIGEN WEG SIND, SOLDAT?",HQ
STRM_S07r07,SWORDFISH BASE TO ALPHA ONE. CONVOY AWAY IN ONE MINUTE! OUT.,BASE ESPADON A ALPHA UN. LE CONVOI PART DANS UNE MINUTE ! TERMINE.,BASE SQUALO AD ALFA UNO. AUTOCOLONNA IN PARTENZA FRA UN MINUTO! CHIUDO.,BASE TIBURÓN A ALFA UNO. ¡EL CONVOY SALDRÁ DENTRO DE UN MINUTO! CORTO Y CIERRO.,STÜTZPUNKT SCHWERTFISCH AN ALPHA EINS. KONVOI FÄHRT IN EINER MINUTE AB! ENDE.,HQ
STRM_S07r08,ALPHA ONE TO SWORDFISH BASE. FUEL DUMPS SURE LOOK PRETTY WHEN THEY BURN. OUT.,ALPHA UN A BASE ESPADON. C'EST BEAU UN DEPOT DE CARBURANT QUI BRULE... TERMINE.,ALFA UNO A BASE SQUALO. I DEPOSITI DI CARBURANTE SONO PROPRIO CARINI QUANDO VANNO A FUOCO. CHIUDO.,ALFA UNO A BASE TIBURÓN. EL DEPÓSITO DE COMBUSTIBLE EN LLAMAS ES TODO UN ESPECTÁCULO. CORTO Y CIERRO.,"ALPHA EINS AN STÜTZPUNKT SCHWERTFISCH. ÖLTANKS SEHEN IMMER HÜBSCH AUS, WENN SIE BRENNEN. ENDE.",Gastovski


------- Titles -------,,,,,,

STRM_S07n10,Lost in enemy territory,Perdu en territoire ennemi,Disperso in territorio nemico,Perdido en territorio enemigo,Auf gegnerischem Gebiet verloren., AfterMission
STRM_S07n11,Mission completed,Mission accomplie,Missione compiuta,Misión cumplida.,Einsatz abgeschlossen, AfterMission
STRM_S07n12,Mission failed,Echec de la mission,Missione fallita,Misión fallida,Einsatz gescheitert., AfterMission

STRM_S07n13,Start,Démarrer,Iniziare,Inicio,Beginnen, Marker
STRM_S07n14,Destroy fuel station,Détruire la station-service,Distruggere deposito di carburante,Destruya la gasolinera,Treibstoffdepot zerstören, Marker
STRM_S07n15,Destroy convoy,Détruire le convoi,Distruggere autocolonna,Destruya el convoy,Konvoi zerstören, Marker
STRM_S07n16,Get in a car,Monter dans une voiture,Salire su una macchina,Suba al coche,In ein Auto einsteigen, Marker
STRM_S07n17,Disappear,Disparaître,Sparire,Desaparezca,Verschwinden, Marker

STRM_s07n18,FUEL STATION,STATION-SERVICE,STAZIONE DI RIFORNIMENTO CARBURANTE,GASOLINERA,TREIBSTOFFDEPOT, Waypoint
STRM_s07n19,THE CAR,LA VOITURE,L'AUTO,EL COCHE,DAS AUTO, Waypoint
STRM_s07n20,ARUDY,ARUDY,ARUDY,ARUDY,ARUDY, Waypoint

STRM_S07n40,The hills near Dourdan,Les collines près de Dourdan,Le colline vicino a Dourdan,Colinas cerca de Dourdan,Die Hügel nahe Dourdan, PreBriefing
